รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
25745583245,ถ่านชาร์จ Sony CydeEnergy แบตเตอรี่ ถ่านชาร์จ AA4600mAh / AAA 4300mAh Rechargeable Battery (1 แพ็ค 4 ก้อน ),132,7พัน+,SUISSEWIN ENE,15%,฿19.80,https://shopee.co.th/product/1328103446/25745583245,https://s.shopee.co.th/Ln5pFb7ry
41205993095,TOSHIBA เตาอบไมโครเวฟขนาด 20 ลิตร สีดำ,1.8พัน,50พัน+,Toshiba Thailand Official,5%,฿89.50,https://shopee.co.th/product/1285182933/41205993095,https://s.shopee.co.th/W6W1YaUX1
25256264160,ร่มพับอัตโนมัติ อัตโนมัติ UV สำหรับวันที่แดดจัดและฝนตกคุณภาพร่ม UV เสริมโครง (8 กระดูก),84,70พัน+,HOLO TH,12%,฿10.08,https://shopee.co.th/product/1128049590/25256264160,https://s.shopee.co.th/20vJoJUmUK
27441620914,ขาตั้งทีวีสแตนเลสแบบโลหะมีล้อเคลื่อนย้ายได้ แขวนจอมอนิเตอร์ห้องนั่งเล่น ขนาด 32-85 นิ้ว,2.4พัน,50,happyhome233,10%,฿240.30,https://shopee.co.th/product/1372970233/27441620914,https://s.shopee.co.th/2BEk0cU99N
24353873793,GOOJODOQ ฮับ USB C 10 8 6 5 in 1 แบบใส สําหรับโน้ตบุ๊ก การ์ดรีดเดอร์ VGA HDMI RJ45 PD 3.0 TF SD,359,3พัน+,GOOJODOQ Store,11%,฿39.49,https://shopee.co.th/product/492970814/24353873793,https://s.shopee.co.th/2LYACvTVoQ
45105306724,eSUN PLA Matte Filament 1.75mm 3D Printer สำหรับเครื่องพิมพ์ 3D,229,1พัน+,KP3D ,5%,฿11.45,https://shopee.co.th/product/1693438592/45105306724,https://s.shopee.co.th/2VraPESsTT
41622760746,JOYSEE D80-4G  SIM โซล่าเซลล์ แบตเตอรี่พลังงานแสงอาทิตย์ หมุนติดตามอัตโนมัติ 2 เลนส์ 2 ภาพ 4K HD 360° คุณภาพสูง,598,10พัน+,YOOSEE CCTV,15%,฿89.70,https://shopee.co.th/product/1256676370/41622760746,https://s.shopee.co.th/1Lfd15XJqG
11015583862,Elife ขาตั้งทีวี มีล้อเลื่อน มีชั้นวาง แบบตั้งพื้น Mobile TVStand รับน้ำหนักได้80kg ล้อล็อกได้ ขาตั้งทีวี ขาแขวนทีวี จอ,810,20พัน+,elife_thailand,9%,฿72.90,https://shopee.co.th/product/452473315/11015583862,https://s.shopee.co.th/1Vz3DOWgVJ
40783486404,ชุดซ่อมเกลียวสปริง ต๊าปเกลียว131PCS M5 M6 M8 M10 M12 ชุดซ่อมเกลียว บล็อกเครื่องยนต์ เครื่องมือซ่อมเเซมบล็อกเครื่องยนต์,548,5พัน+,Pro Auto,13%,฿71.24,https://shopee.co.th/product/1710503740/40783486404,https://s.shopee.co.th/1gITPhW3AM
21439844672,[ได้รอก2ตัว 999บาท]รอกสปินนิ่งดราก้อน BG รอกตกปลาสไตล์เรโทร ยุคใหม่ ระบบรอกทันสมัย จัดมาเต็มระบบ,984,3พัน+,THAIFISHINGMALL - อุปกรณ์ตกปลา,12%,฿118.08,https://shopee.co.th/product/136703142/21439844672,https://s.shopee.co.th/1qbtc0VPpP
28986391409,เปลี่ยนหน้าจอ LCD ชุดเฟรม สำหรับ iPhone X/XR/XS/XS Max/11/11 Pro/11 Pro Max TEK.SEJAM พรีเมี่ยม ทัชลื่น ภาพชัด 99วัน COD,510,10พัน+,TEK Phone Screen Store,7%,฿35.70,https://shopee.co.th/product/1316961785/28986391409,https://s.shopee.co.th/8fSDkZ5Oxk
41907285847,ขาตั้งทีวีล้อเลื่อน 32-85นิ้ว ขาแขวนทีวี เหล็กกว้างหนาสีขาว ขาตังทีวี ปรับความสูงได้ ขาตั้ง tv เหมาะกับทีวีทุกยี่ห้อ,939,985,LiftQ,12%,฿112.68,https://shopee.co.th/product/1224849219/41907285847,https://s.shopee.co.th/8pldws4lcn
55711149668,ชุดต๊าปเกลียว 40 ชิ้น หน่วยมิล แพ็คกล่องเหล็ก อเนกประสงค์ สำหรับทำเกลียว ใช้งานระดับมืออาชีพ,464,9,TookMart,7%,฿32.48,https://shopee.co.th/product/1720333467/55711149668,https://s.shopee.co.th/90549B48Hq
24400320226,พีเจ้น ขวดนมปากกว้าง PPWN ไซส์ M 240 มล./ไซส์ SS 160 มล.-จุกเสมือนนมมารดา รุ่นพลัส(แพ็ค 2 ฟรี 1ขวด) PIGEON NURSER PPWN,595,10พัน+,Lotuss_official,9%,฿53.55,https://shopee.co.th/product/144046792/24400320226,https://s.shopee.co.th/9AOULU3Uwt
19283435771,BLISSTECH รับประกัน 2ปี D1 ล็อกแน่น ไม่หลุด ที่จับโทรศัพท์ ที่วางโทรศัพท์ในรถยนต์ ที่วางมือถือ หมุนได้ 360 ํ,339,10พัน+,BLISSTECH THAILAND,17%,฿57.63,https://shopee.co.th/product/1057506471/19283435771,https://s.shopee.co.th/80CWxL7wJg
49902885589,ขาแขวนทีวี 55-85นิ้ว แบริ่งน้ำหนัก100kg LCD ปรับก้มเงยได้ ขาแขวน ขาแขวนทีวี ทีวีติดผนัง ขาตั้งทีวีแบบปรับได้,394,787,HXmall,6%,฿23.64,https://shopee.co.th/product/1100915668/49902885589,https://s.shopee.co.th/8AVx9e7Iyj
